orig_addr,insn,provider,provider_source,rebuild_format_addr
0x18004a7b0,92,spdlog::details::f_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:396,0x1800627a0
0x18004a900,77,spdlog::details::level_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:117,0x180062970
0x18004aa00,74,spdlog::details::m_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:297,0x180062af0
0x18004ab20,68,spdlog::details::mdc_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:798,0x180062c90
0x18004abf0,74,spdlog::details::name_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:104,0x180062df0
0x18004ad20,80,spdlog::details::p_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:443,0x180062fa0
0x18004ae40,97,spdlog::details::pid_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:571,0x180063140
0x18004af60,85,spdlog::details::r_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:457,0x1800632f0
0x18004b0a0,145,spdlog::details::r_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:457,0x180063390
0x18004b2e0,149,spdlog::details::short_filename_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:693,0x1800635b0
0x18004b500,82,spdlog::details::short_level_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:131,0x180063840
0x18004b640,120,spdlog::details::source_filename_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:675,0x180063a00
0x18004b7f0,120,spdlog::details::source_funcname_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:753,0x180063c60
0x18004b970,132,spdlog::details::source_linenum_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:734,0x180063e90
0x18004bb00,39,spdlog::details::source_location_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:646,0x1800640d0
0x18004bdd0,97,spdlog::details::t_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:557,0x1800643d0
0x18004bf10,74,spdlog::details::v_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:585,0x1800645a0
0x18004bff0,98,spdlog::details::z_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:514,0x180064700
0x18004c150,162,spdlog::details::z_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:514,0x1800647b0
0x18004c400,557,spdlog::details::full_formatter::format,extern/spdlog/include/spdlog/pattern_formatter-inl.h:839,0x1800649e0
0x18004d240,109,spdlog::details::fmt_helper::pad2,extern/spdlog/include/spdlog/details/fmt_helper.h:84,
0x18004de30,42,spdlog::details::os::utc_minutes_offset,extern/spdlog/include/spdlog/details/os-inl.h:247,
0x18004e1c0,197,spdlog::details::file_helper::open,extern/spdlog/include/spdlog/details/file_helper-inl.h:26 (throw :60),
0x180052e80,13,MSVC STL <format>/<chrono> SEH cleanup funclet,microsoft/STL vs-2022-17.14 stl/inc/format (buffer cleanup); no direct caller,
0x180053010,13,MSVC STL <format>/<chrono> SEH cleanup funclet,microsoft/STL vs-2022-17.14 stl/inc/format (buffer cleanup); no direct caller,
0x1800532d0,13,MSVC STL <format>/<chrono> SEH cleanup funclet,microsoft/STL vs-2022-17.14 stl/inc/format (buffer cleanup); no direct caller,
0x1800534e0,13,MSVC STL <format>/<chrono> SEH cleanup funclet,microsoft/STL vs-2022-17.14 stl/inc/format (buffer cleanup); no direct caller,
0x180053b00,13,MSVC STL <format>/<chrono> SEH cleanup funclet,microsoft/STL vs-2022-17.14 stl/inc/format (buffer cleanup); no direct caller,
0x180053f60,13,MSVC STL <format>/<chrono> SEH cleanup funclet,microsoft/STL vs-2022-17.14 stl/inc/format (buffer cleanup); no direct caller,
